"positive","that jack nicholson makes this man so watchable is a tribute not only to his craft , but to his legend ."
"positive","has a solid emotional impact ."
"positive","successfully blended satire , high camp and yet another sexual taboo into a really funny movie ."
"positive","mark pellington's latest pop thriller is as kooky and overeager as it is spooky and subtly in love with myth ."
"positive","while maintaining the appearance of clinical objectivity , this sad , occasionally horrifying but often inspiring film is among wiseman's warmest ."
"positive","raimi crafted a complicated hero who is a welcome relief from the usual two-dimensional offerings ."
"positive","an enjoyable above average summer diversion ."
"positive","there is simply no doubt that this film asks the right questions at the right time in the history of our country ."
"positive","if you've the patience , there are great rewards here ."
"positive","as a science fiction movie , "" minority report "" astounds ."
"positive","watching e . t now , in an era dominated by cold , loud special-effects-laden extravaganzas , one is struck less by its lavish grandeur than by its intimacy and precision ."
"positive","visually breathtaking , viscerally exciting , and dramatically moving , it's the very definition of epic adventure ."
"positive","chris columbus' sequel is faster , livelier and a good deal funnier than his original ."
"positive","watching this film , what we feel isn't mainly suspense or excitement . the dominant feeling is something like nostalgia ."
"positive","' . . . a great , participatory spectator sport . '"
"positive","a rather brilliant little cult item : a pastiche of children's entertainment , superhero comics , and japanese animation ."
"positive","believes so fervently in humanity that it feels almost anachronistic , and it is too cute by half . but arriving at a particularly dark moment in history , it offers flickering reminders of the ties that bind us ."
"positive","adam sandler ! in an art film !"
"positive","as averse as i usually am to feel-good , follow-your-dream hollywood fantasies , this one got to me ."
"positive","stone seems to have a knack for wrapping the theater in a cold blanket of urban desperation ."
"positive",". . . a funny yet dark and seedy clash of cultures and generations ."
"positive","the hook is the drama within the drama , as an unsolved murder and an unresolved moral conflict jockey for the spotlight ."
"positive","over the years , hollywood has crafted a solid formula for successful animated movies , and ice age only improves on it , with terrific computer graphics , inventive action sequences and a droll sense of humor ."
"positive","like smoke signals , the film is also imbued with strong themes of familial ties and spirituality that are powerful and moving without stooping to base melodrama"
"positive","one of those movies that make us pause and think of what we have given up to acquire the fast-paced contemporary society ."
"positive","one of the most original american productions this year , you'll find yourself remembering this refreshing visit to a sunshine state ."
"positive","melds derivative elements into something that is often quite rich and exciting , and always a beauty to behold ."
"positive","gives everyone something to shout about ."
"positive","the entire movie has a truncated feeling , but what's available is lovely and lovable ."
"positive","[a] thoughtful , visually graceful work ."
"positive","admirers of director abel ferrara may be relieved that his latest feature , r xmas , marks a modest if encouraging return to form ."
"positive","the slam-bang superheroics are kinetic enough to engross even the most antsy youngsters ."
"positive","a worthy addition to the cinematic canon , which , at last count , numbered 52 different versions ."
"positive","deliciously mean-spirited and wryly observant ."
"positive","the kind of primal storytelling that george lucas can only dream of ."
"positive","even if the ring has a familiar ring , it's still unusually crafty and intelligent for hollywood horror ."
"positive","the sheer joy and pride they took in their work -- and in each other -- shines through every frame ."
"positive","a solidly constructed , entertaining thriller that stops short of true inspiration ."
"positive","the cast . . . keeps this pretty watchable , and casting mick jagger as director of the escort service was inspired ."
"positive","an entertaining , if somewhat standardized , action movie ."
"positive","it has a dashing and resourceful hero ; a lisping , reptilian villain ; big fights ; big hair ; lavish period scenery ; and a story just complicated enough to let you bask in your own cleverness as you figure it out ."
"positive","an enjoyable comedy of lingual and cultural differences� the ch�teau is a film -- full of life and small delights -- that has all the wiggling energy of young kitten ."
"positive","intriguing and downright intoxicating ."
"positive","an incredibly thoughtful , deeply meditative picture that neatly and effectively captures the debilitating grief felt in the immediate aftermath of the terrorist attacks ."
"positive","with an obvious rapport with her actors and a striking style behind the camera , h�l�ne angel is definitely a director to watch ."
"positive",". . . could easily be called the best korean film of 2002 ."
"positive","full of detail about the man and his country , and is well worth seeing ."
"positive","the banter between calvin and his fellow barbers feels like a streetwise mclaughlin group . . . and never fails to entertain ."
"positive","thoroughly engrossing and ultimately tragic ."
"positive","peter jackson and company once again dazzle and delight us , fulfilling practically every expectation either a longtime tolkien fan or a movie-going neophyte could want ."
"positive","bill morrison's decasia is uncompromising , difficult and unbearably beautiful ."
"positive","full of bland hotels , highways , parking lots , with some glimpses of nature and family warmth , time out is a discreet moan of despair about entrapment in the maze of modern life ."
"positive","even with all its botches , enigma offers all the pleasure of a handsome and well-made entertainment ."
"positive","his work transcends the boy-meets-girl posturing of typical love stories ."
"positive","if the real-life story is genuinely inspirational , the movie stirs us as well ."
"positive","an ebullient tunisian film about the startling transformation of a tradition-bound widow who is drawn into the exotic world of belly dancing ."
"positive","the dramatic crisis doesn't always succeed in its quest to be taken seriously , but huppert's volatile performance makes for a riveting movie experience ."
"positive","highly irritating at first , mr . koury's passive technique eventually begins to yield some interesting results ."
"positive","about schmidt belongs to nicholson . gone are the flamboyant mannerisms that are the trademark of several of his performances . as schmidt , nicholson walks with a slow , deliberate gait , chooses his words carefully and subdues his natural exuberance ."
"positive","the powder blues and sun-splashed whites of tunis make an alluring backdrop for this sensuous and spirited tale of a prim widow who finds an unlikely release in belly-dancing clubs ."
"positive","it doesn't make for great cinema , but it is interesting to see where one's imagination will lead when given the opportunity ."
"positive","it's sobering , particularly if anyone still thinks this conflict can be resolved easily , or soon ."
"positive","if it's not entirely memorable , the movie is certainly easy to watch ."
"positive",". . . by the time it's done with us , mira nair's new movie has its audience giddy with the delight of discovery , of having been immersed in a foreign culture only to find that human nature is pretty much the same all over ."
"positive","best indie of the year , so far ."
"positive","[ferrera] has the charisma of a young woman who knows how to hold the screen ."
"positive",". . . the plot weaves us into a complex web ."
"positive","don't judge this one too soon - it's a dark , gritty story but it takes off in totally unexpected directions and keeps on going ."
"positive","it's funny , as the old saying goes , because it's true ."
"positive","in death to smoochy , we don't get williams' usual tear and a smile , just sneers and bile , and the spectacle is nothing short of refreshing ."
"positive","a serviceable euro-trash action extravaganza , with a decent sense of humor and plenty of things that go boom � handguns , bmws and seaside chateaus ."
"positive","fortunately , elling never gets too cloying thanks to the actors' perfect comic timing and sweet , genuine chemistry ."
"positive","if you've grown tired of going where no man has gone before , but several movies have - take heart . this is the best star trek movie in a long time ."
"positive","greg kinnear gives a mesmerizing performance as a full-fledged sex addict who is in complete denial about his obsessive behavior ."
"positive","not only a coming-of-age story and cautionary parable , but also a perfectly rendered period piece ."
"positive","ou've got to love a disney pic with as little cleavage as this one has , and a heroine as feisty and principled as jane ."
"positive","a funny , triumphant , and moving documentary ."
"positive","delirious fun ."
"positive","lathan and diggs carry the film with their charisma , and both exhibit sharp comic timing that makes the more hackneyed elements of the film easier to digest ."
"positive","about schmidt is nicholson's goofy , heartfelt , mesmerizing king lear ."
"positive","a confluence of kiddie entertainment , sophisticated wit and symbolic graphic design ."
"positive","gay or straight , kissing jessica stein is one of the greatest date movies in years ."
"positive","this is a movie full of grace and , ultimately , hope ."
"positive","exciting and well-paced ."
"positive","even better than the first one !"
"positive","its compelling mix of trial movie , escape movie and unexpected fable ensures the film never feels draggy ."
"positive","a must see for all sides of the political spectrum"
"positive","[reynolds] takes a classic story , casts attractive and talented actors and uses a magnificent landscape to create a feature film that is wickedly fun to watch ."
"positive","there are problems with this film that even 3 oscar winners can't overcome , but it's a nice girl-buddy movie once it gets rock-n-rolling ."
"positive","rich in atmosphere of the post-war art world , it manages to instruct without reeking of research library dust ."
"positive","has the rare capability to soothe and break your heart with a single stroke ."
